#{"t_start": 1774392944.094567, "env_id": "None"}
r,l,t
-11.475,155,7.268635
-6.82,148,10.450595
-0.845,203,15.76039
-6.25,110,18.488425
-7.01,124,21.648281
-9.93,202,26.956661
-7.805,187,32.103991
1.055,143,36.039904
3.12,162,40.597743
-9.09,196,46.360287
-11.86,194,52.125103
-8.575,155,56.616482
-4.175,155,62.187842
7.745,157,66.78069
-0.45,110,69.292663
-8.145,143,72.904133
-5.2,120,76.446936
-10.015,181,81.667101
-1.005,147,86.007899
-2.605,147,90.446638
-7.0,160,94.676074
-6.71,204,99.986162
-3.575,165,104.156462
4.39,124,107.549295
9.98,148,111.751928
-2.635,129,115.411972
-7.745,153,120.450135
8.955,183,125.540008
-0.895,153,129.945266
1.61,146,134.028722
-3.235,109,137.293751
14.19,204,143.348639
4.815,159,146.837382
-5.29,126,149.96
5.275,145,154.158765
8.93,148,158.113194
-5.135,129,161.743667
-8.625,195,166.555664
-5.74,136,169.346302
3.175,125,172.553735
