#{"t_start": 1774109190.5034938, "env_id": "None"}
r,l,t
-14.417115,120,5.074446
-6.997974,120,7.291588
-7.599088,120,9.629838
-17.400919,120,12.263978
-8.621427,120,15.108477
-8.360562,120,17.514952
-10.980485,120,19.86687
-17.499561,120,22.162256
-4.313751,120,24.391905
-6.063647,120,26.333727
-6.37242,120,28.635684
-17.240763,120,31.109566
-8.401473,120,33.754474
-4.047842,120,36.276292
-5.340335,120,38.596523
-4.97326,120,40.84445
-5.008999,120,43.36719
-3.319171,120,46.141467
-4.658447,120,48.526602
-4.643489,120,51.14901
-4.678244,120,53.701084
-5.036456,120,56.214117
-4.213652,120,58.223366
-8.855285,120,60.126149
-4.630326,120,62.09313
-3.750987,120,64.729341
-3.327218,120,67.101595
-3.667267,120,69.492391
-3.212599,120,71.907696
-5.750798,120,74.343132
-3.150093,120,76.748684
-3.874538,120,79.173622
-4.626837,120,81.808052
-4.782207,120,83.812597
-2.450673,120,86.291469
-3.612054,120,88.517296
-3.501249,120,90.972211
-2.530125,120,93.077258
-3.753597,120,95.202422
-1.449305,120,97.167908
-2.86168,120,99.740539
-2.853113,120,102.741371
-1.956957,120,105.478631
-1.508514,120,108.130563
-2.129191,120,110.683328
-1.843878,120,113.216661
-2.273429,120,116.128407
-1.345106,120,118.320993
-2.037619,120,120.99998
-1.239986,120,123.566097
-1.4172,120,126.052094
0.362586,120,128.504383
-1.720478,120,130.591094
-1.649372,120,132.662178
-3.466118,120,135.040996
-2.048569,120,137.705119
-2.053127,120,140.263793
-1.37052,120,142.785614
-2.000607,120,145.459572
-2.039248,120,148.157575
-1.918475,120,150.741989
-1.861623,120,153.34595
-1.262626,120,156.002522
-2.568736,120,158.368279
-1.103235,120,161.141921
-1.829781,120,163.317677
-2.951052,120,165.173272
-2.782284,120,167.181513
-1.108147,120,169.791208
-1.248299,120,171.982057
-2.291995,120,174.394812
-1.189049,120,176.894489
-1.452477,120,179.412269
-0.884262,120,181.521099
-1.683922,120,183.719488
-1.899586,120,186.012635
-1.774765,120,188.359366
-3.881399,120,190.819477
-3.370687,120,192.930294
-1.74316,120,195.348156
-1.544548,120,197.38481
-2.564222,120,199.52369
-1.915179,120,201.476768
-1.169894,120,203.657121
-2.31481,120,206.080863
-2.293517,120,208.553846
-1.006954,120,210.704231
-1.629946,120,213.221434
-1.831576,120,215.830712
-1.601495,120,218.518503
-1.189529,120,221.496669
-2.1838,120,224.175945
-1.469009,120,227.284556
-0.754812,120,229.7497
-2.057599,120,232.2824
-1.458048,120,234.270864
-2.714486,120,236.244224
-2.288252,120,238.818006
-1.869163,120,241.653574
-2.663867,120,244.396595
-2.983985,120,246.98692
-2.109798,120,249.490549
-2.28794,120,252.234038
-2.01087,120,254.827265
-1.02991,120,257.413164
-1.406377,120,260.321918
-2.335691,120,263.327075
-1.137695,120,266.298748
-0.551175,120,268.323448
-1.725395,120,270.1835
-2.358616,120,272.393365
-1.887216,120,275.116334
-2.33512,120,277.729446
-1.381643,120,280.333501
-0.995121,120,282.781108
-2.480276,120,286.021031
-0.265413,120,288.516483
-4.584342,120,291.24529
-8.809272,120,293.98207
-1.852085,120,297.023623
-2.336984,120,299.740682
-1.94813,120,302.138893
-1.657449,120,304.068659
-0.788261,120,306.266757
-1.971702,120,308.515357
-2.155622,120,311.14083
-1.190884,120,313.380611
-1.280263,120,315.831196
-1.20162,120,318.614309
-2.352785,120,320.873041
-1.096071,120,323.279814
-1.534815,120,325.647821
-1.654066,120,328.067303
-1.508264,120,330.498685
-1.163687,120,333.0952
-1.08901,120,335.631873
-1.585387,120,338.020131
-2.364633,120,339.961901
-1.463508,120,341.820249
-0.736657,120,344.172775
-1.317393,120,347.018134
-0.682673,120,349.639434
-0.771086,120,352.245325
-1.317059,120,354.899737
-1.299173,120,357.377642
-1.06701,120,359.889065
-1.580372,120,361.85077
-0.263695,120,364.385744
-0.970573,120,366.917937
-0.561573,120,369.232328
-1.126399,120,371.72668
-1.304105,120,373.78758
-1.807148,120,375.740944
-2.163778,120,378.171772
-1.616756,120,380.365391
-3.111703,120,382.827292
-1.197072,120,385.547695
-0.82409,120,388.048685
-1.398035,120,390.421934
-1.879236,120,392.99379
-1.84865,120,395.282169
-0.617833,120,397.924985
-1.698554,120,400.692019
-0.540295,120,403.302315
-1.554724,120,405.729537
