#{"t_start": 1774105110.0986924, "env_id": "None"}
r,l,t
-12.605265,120,4.707695
-18.388475,120,6.735748
-12.938406,120,8.822935
-5.941705,120,10.974321
-5.250092,120,13.583828
-19.860031,120,15.846086
-6.224039,120,18.183053
-5.870055,120,20.24715
-7.350282,120,22.854096
-6.990095,120,25.092885
-4.504739,120,27.473829
-4.511969,120,29.638746
-6.225278,120,32.095766
-4.831546,120,34.510567
-5.038635,120,36.897283
-4.610576,120,38.855279
-6.303222,120,40.822256
-8.158326,120,43.29397
-5.193301,120,45.50972
-4.516903,120,47.800237
-3.505802,120,50.197175
-4.644592,120,52.720408
-3.486375,120,55.09474
-7.366581,120,57.840008
-3.84137,120,60.214772
-5.360268,120,62.880461
-3.418141,120,65.077422
-5.724163,120,67.332958
-2.340782,120,69.694532
-5.733992,120,72.023774
-5.179706,120,73.952339
-2.753239,120,75.898418
-3.143653,120,78.256099
-2.390397,120,80.796828
-3.922112,120,83.13551
-2.843797,120,86.204149
-3.804892,120,88.820544
-2.855863,120,91.596079
-1.987679,120,94.478091
-2.246967,120,97.076152
-9.675889,120,99.711356
-2.453195,120,102.331466
-2.062503,120,105.025949
-1.545792,120,107.090217
-1.331054,120,109.007331
-1.820336,120,110.897662
-2.681814,120,113.669861
-1.662933,120,116.127241
-3.120086,120,118.523501
-1.875314,120,121.01487
-5.699554,120,123.363736
-2.928043,120,126.030161
-1.519243,120,128.436273
-2.39383,120,130.980276
-1.874387,120,133.306084
-2.733704,120,136.056562
-1.757423,120,138.588015
-2.967359,120,140.907862
-1.554281,120,142.765961
-2.626965,120,144.971547
-2.035712,120,147.369608
-2.546051,120,149.94967
-3.906384,120,152.572891
-2.857146,120,155.087066
-1.109084,120,157.634876
-2.099695,120,160.018248
-2.218993,120,162.42846
-2.112176,120,164.919094
-2.659156,120,167.838579
-1.581369,120,170.207503
-2.299693,120,172.811186
-3.047978,120,175.5402
-2.232961,120,177.751899
-3.773712,120,179.777174
-1.676854,120,182.439835
-2.053838,120,184.981578
-1.486295,120,187.520792
-3.168565,120,189.854343
-1.16975,120,192.443139
-1.093424,120,194.919581
-2.661568,120,197.471755
-1.403896,120,200.248476
-1.447686,120,202.715986
-2.057083,120,205.442544
-1.329657,120,207.877234
-1.791691,120,210.420436
-1.523589,120,212.388147
-1.782394,120,214.290454
-4.899214,120,217.038604
-2.184763,120,219.989067
-1.273341,120,222.640179
-1.042484,120,225.393328
-2.696354,120,228.055142
-1.50984,120,230.780479
-2.751495,120,233.091723
-1.313755,120,235.987838
-1.210859,120,238.645195
-1.744195,120,241.127878
-1.417247,120,244.04463
-0.699442,120,245.868826
-2.788474,120,247.831739
-2.025321,120,250.200654
-1.191157,120,252.73981
-1.482627,120,255.49059
-1.231154,120,257.861702
-1.499534,120,260.26504
-1.449575,120,262.699845
-1.273392,120,264.728115
-1.005658,120,266.96437
-2.209535,120,269.062683
-2.000653,120,271.475744
-2.46735,120,273.905385
-1.299516,120,276.340701
-2.15559,120,278.953752
-1.754099,120,280.833154
-1.956092,120,283.011085
-2.133073,120,285.589351
-1.988626,120,288.249108
-1.282429,120,290.551003
-1.394192,120,293.401327
-2.21399,120,296.113802
-1.731931,120,298.884461
-0.998245,120,301.331638
-2.125879,120,303.997775
-1.089769,120,306.470794
-1.53606,120,309.113324
-0.707736,120,311.178706
-1.780258,120,313.527499
-1.003997,120,315.635803
-1.100676,120,317.494678
-1.787584,120,319.881127
-4.004113,120,322.236232
-3.221668,120,325.019563
-0.963465,120,327.365221
-1.403729,120,330.131342
-1.445711,120,333.028956
-1.823432,120,335.507971
-1.819859,120,337.516194
-1.895248,120,339.711099
-1.968047,120,342.006516
-1.778781,120,344.313248
-1.105486,120,346.462299
-1.323704,120,348.511943
-1.69533,120,350.279956
-1.451323,120,352.268243
-1.191124,120,354.832537
-1.327604,120,357.498116
-1.545218,120,360.29691
-1.516335,120,362.86936
-0.655768,120,365.620626
-2.042704,120,368.080449
-1.138153,120,370.688699
-3.493189,120,373.037144
-1.25551,120,376.008871
-0.781357,120,378.274624
-2.038888,120,381.202754
-1.937867,120,383.451815
-1.163195,120,385.548567
-0.95361,120,388.16322
-1.17609,120,390.900961
-1.257358,120,393.453158
-0.703325,120,396.144283
-3.270932,120,398.681796
-0.502099,120,401.526107
-1.672653,120,404.082454
-2.070846,120,406.451826
-1.250999,120,409.48915
-0.577228,120,412.271039
-1.15424,120,414.744633
-1.388647,120,417.005031
-1.744776,120,419.286132
-1.438919,120,421.084839
-0.220938,120,423.221023
-0.827916,120,425.496172
-1.516128,120,428.062037
-1.120828,120,430.474781
-1.192263,120,432.848948
-1.967139,120,435.490639
-1.296892,120,437.844024
-1.924216,120,440.634519
-1.225083,120,443.11504
-0.85245,120,445.585193
-1.341253,120,447.633559
-1.285609,120,450.277187
-0.715816,120,452.564659
-0.611612,120,454.42065
-1.031628,120,456.348487
-1.955049,120,459.040702
-1.880427,120,461.43675
-0.545555,120,463.82565
-1.459574,120,466.430806
-1.175687,120,469.010075
-1.4373,120,471.537236
-1.603358,120,474.235128
-1.802887,120,476.697014
-1.951136,120,479.184627
-0.729118,120,481.822982
-1.279794,120,484.362691
-1.335795,120,486.787559
-1.073576,120,488.80272
-1.357159,120,491.020209
-1.188362,120,493.545008
-1.503789,120,496.38575
-1.321932,120,499.011077
-0.576294,120,501.744049
-0.748078,120,504.799359
-0.127952,120,507.320025
-1.316857,120,510.206366
-1.512221,120,512.969869
-2.255776,120,515.74859
0.163361,120,518.470469
-1.122236,120,521.306816
-1.552749,120,523.261011
-2.989986,120,525.415992
-1.07488,120,527.680289
-0.955721,120,530.448809
-0.539607,120,532.878177
-1.626463,120,535.673365
-0.229962,120,538.050328
-0.306625,120,540.77445
0.39109,120,543.351932
-1.939075,120,546.009877
-1.208595,120,548.376533
-0.78779,120,550.695659
-0.432409,120,553.155661
-0.658516,120,555.560652
-1.188248,120,557.706045
-0.472615,120,559.560301
0.012229,120,561.630794
-0.557165,120,563.864508
1.00901,120,566.38331
-1.341736,120,568.806046
0.129818,120,571.307775
-0.723647,120,573.672475
0.542185,120,576.324048
-0.912558,120,578.558805
-1.272681,120,581.111963
-1.258948,120,583.870938
-0.972041,120,586.797091
-1.527263,120,589.426275
-0.677185,120,591.577853
-0.619159,120,593.519809
-0.52702,120,595.649644
-0.360477,120,597.970324
-0.853381,120,600.593479
-1.250774,120,603.032728
-1.248765,120,605.570253
-1.308207,120,608.292265
0.478135,120,610.887383
0.111277,120,613.564566
-0.204664,120,616.203659
