#{"t_start": 1774286078.2650437, "env_id": "None"}
r,l,t
-17.514711,200,7.435385
-22.45766,200,12.569115
-20.915107,200,17.895679
-28.607463,200,23.468506
-25.750216,200,28.78844
-30.812676,200,33.870534
-23.937941,200,38.544839
-19.091935,200,43.57856
-16.953552,200,48.72984
-16.172719,200,53.729857
-11.144076,200,61.604223
-16.629256,200,66.863459
-14.526773,200,71.724709
-22.531072,200,76.86287
-21.675105,200,82.204245
-17.780745,200,87.55118
-14.90712,200,92.553289
-16.80485,200,97.72264
-16.887999,200,102.668614
-20.941459,200,108.100034
-14.379669,200,115.67641
-13.624993,200,120.928383
-21.776327,200,125.99815
-11.518926,200,131.032731
-13.861042,200,136.045306
-12.788524,200,141.295958
-15.101299,200,146.581999
-10.165607,200,151.732765
-13.033446,200,156.939216
-14.480827,200,162.100118
-12.874044,200,169.84055
-12.061533,200,174.878657
-10.882945,200,179.905797
-10.575969,200,184.982545
-13.851966,200,189.987502
-12.290303,200,195.046888
-8.585621,200,200.085924
-11.456716,200,205.36759
-11.372153,200,210.170452
-11.786824,200,215.363074
-13.05998,200,223.396808
-14.234811,200,228.370166
-11.356413,200,233.545861
-13.821317,200,238.647728
-14.679703,200,243.956192
-10.885026,200,248.847319
-3.419773,200,253.900101
-9.186441,200,258.708072
-10.883894,200,263.90777
-10.694279,200,269.097507
-12.733583,200,274.27934
-10.741968,200,281.94995
-10.730723,200,287.09186
-7.496764,200,292.127129
-10.621944,200,297.266684
-11.797742,200,302.504123
-10.213248,200,307.690351
-8.907446,200,312.927552
-8.481971,200,318.107117
-6.850162,200,323.086038
-10.794201,200,328.178164
-10.38478,200,335.755148
-10.023643,200,341.226462
-9.353317,200,346.420305
-9.131974,200,351.316681
-6.777766,200,356.330102
-12.30853,200,361.631846
-7.68487,200,366.648103
-7.572561,200,372.047097
-10.875924,200,377.347294
-10.959041,200,382.507209
-7.7626,200,389.616773
-9.390131,200,395.058281
-9.266249,200,400.357527
-6.564653,200,405.431958
-7.054912,200,410.548571
-7.120471,200,415.461508
-5.588575,200,420.266916
-7.914414,200,425.603479
-6.610187,200,430.820174
-7.382145,200,435.947103
-2.594557,200,443.567284
-8.359392,200,448.310071
-8.447223,200,453.083155
-9.201204,200,458.335531
-8.94876,200,463.640943
-6.232278,200,468.855981
-8.134763,200,474.185956
-6.36303,200,478.989747
-6.667188,200,483.896214
-10.236082,200,488.966341
-9.12491,200,494.121527
-9.978026,200,501.885765
-9.149667,200,507.201632
-9.535987,200,512.097268
-8.339976,200,517.496962
-8.634761,200,522.896981
-10.366132,200,527.844404
-8.920074,200,533.347113
-8.03406,200,538.362422
-9.683414,200,543.447293
