timestep,success
200,0
400,0
600,0
800,0
1000,0
1200,0
1400,0
1600,0
1800,0
2000,0
2200,0
2400,0
2600,0
2800,0
3000,0
3200,0
3400,0
3600,0
3800,0
4000,0
4200,0
4400,0
4600,0
4800,0
5000,0
5200,0
5400,0
5600,0
5800,0
6000,0
6200,0
6400,0
6600,0
6800,0
7000,0
7200,0
7400,0
7600,0
7800,0
8000,0
8200,0
8400,0
8600,0
8800,0
9000,0
9200,0
9400,0
9600,0
9800,0
10000,0
10200,0
10400,0
10600,0
10800,0
11000,0
11200,0
11400,0
11600,0
11800,0
12000,0
12200,0
12400,0
12600,0
12800,0
13000,0
13200,0
13400,0
13600,0
13800,0
14000,0
14200,0
14400,0
14600,0
14800,0
15000,0
15200,0
15400,0
15600,0
15800,0
16000,0
16200,0
16400,0
16600,0
16800,0
17000,0
17200,0
17400,0
17600,0
17800,0
18000,0
18200,0
18400,0
18600,0
18800,0
19000,0
19200,0
19400,0
19600,0
19800,0
20000,0
20200,0
20400,0
20600,0
20800,0
21000,0
21200,0
21400,0
21600,0
21800,0
22000,0
22200,0
22400,0
22600,0
22800,0
23000,0
23200,0
23400,0
23600,0
23800,0
24000,0
24200,0
24400,0
24600,0
24800,0
25000,0
25200,0
25400,0
25600,0
25800,0
26000,0
26200,0
26400,0
26600,0
26800,0
27000,0
27200,0
27400,0
27600,0
27800,0
28000,0
28200,0
28400,0
28600,0
28800,0
29000,0
29200,0
29400,0
29600,0
29800,0
30000,0
30200,0
30400,0
30600,0
30800,0
31000,0
31200,0
31400,0
31600,0
31800,0
32000,0
32200,0
32400,0
32600,0
32800,0
33000,0
33200,0
33400,0
33600,0
33800,0
34000,0
34200,0
34400,0
34600,0
34800,0
35000,0
35200,0
35400,0
35600,0
35800,0
36000,0
36200,0
36400,0
36600,0
36800,0
37000,0
37200,0
37400,0
37600,0
37800,0
38000,0
38200,0
38400,0
38600,0
38800,0
39000,0
39200,0
39400,0
39600,0
39800,0
40000,0
40200,0
40400,0
40600,0
40800,0
41000,0
41200,0
41400,0
41600,0
41800,0
42000,0
42200,0
42400,0
42600,0
42800,0
43000,0
43200,0
43400,0
43600,0
43800,0
44000,0
44200,0
44400,0
44600,0
44800,0
45000,0
45200,0
45400,0
45600,0
45800,0
46000,0
46200,0
46400,0
46600,0
46800,0
47000,0
47200,0
47400,0
47600,0
47800,0
48000,0
48200,0
48400,0
48600,0
48800,0
49000,0
49200,0
49400,0
49600,0
49800,0
50000,0
50200,0
50400,0
50600,0
50800,0
51000,0
51200,0
51400,0
51600,0
51800,0
52000,0
52200,0
52400,0
52600,0
52800,0
53000,0
53200,0
53400,0
53600,0
53800,0
54000,0
54200,0
54400,0
54600,0
54800,0
55000,0
55200,0
55400,0
55600,0
55800,0
56000,0
56200,0
56400,0
56600,0
56800,0
57000,0
57191,0
57391,0
57591,0
57791,0
57991,0
58191,0
58391,0
58591,0
58791,0
58991,0
59191,0
59391,0
59591,0
59791,0
59991,0
60191,0
60391,0
60591,0
60791,0
60991,0
61191,0
61391,0
61591,0
61791,0
61991,0
62191,0
62391,0
62591,0
62791,0
62991,0
63191,0
63391,0
63591,0
63791,0
63991,0
64191,0
64391,0
64591,0
64791,0
64991,0
65191,0
65391,0
65591,0
65791,0
65991,0
66191,0
66391,0
66591,0
66791,0
66991,0
67191,0
67391,0
67591,0
67791,0
67991,0
68191,0
68391,0
68591,0
68791,0
68991,0
69191,0
69391,0
69591,0
69791,0
69991,0
70191,0
70391,0
70591,0
70791,0
70991,0
71191,0
71391,0
71591,0
71791,0
71991,0
72191,0
72391,0
72591,0
72791,0
72991,0
73191,0
73391,0
73591,0
73791,0
73991,0
74191,0
74391,0
74591,0
74791,0
74991,0
75191,0
75391,0
75591,0
75791,0
75991,0
76191,0
76391,0
76591,0
76791,0
76991,0
77191,0
77391,0
77591,0
77791,0
77991,0
78191,0
78391,0
78591,0
78791,0
78991,0
79191,0
79391,0
79591,0
79791,0
79991,0
80191,0
80391,0
80591,0
80791,0
80991,0
81191,0
81391,0
81591,0
81791,0
81991,0
82191,0
82391,0
82591,0
82791,0
82991,0
83191,0
83391,0
83591,0
83791,0
83991,0
84191,0
84391,0
84591,0
84791,0
84991,0
85191,0
85391,0
85591,0
85791,0
85991,0
86191,0
86391,0
86591,0
86791,0
86991,0
87191,0
87391,0
87591,0
87791,0
87991,0
88191,0
88391,0
88591,0
88791,0
88991,0
89191,0
89391,0
89591,0
89791,0
89991,0
90191,0
90391,0
90591,0
90791,0
90991,0
91191,0
91391,0
91591,0
91791,0
91991,0
92191,0
92391,0
92591,0
92791,0
92991,0
93191,0
93391,0
93591,0
93791,0
93991,0
94191,0
94391,0
94591,0
94791,0
94991,0
95191,0
95391,0
95591,0
95791,0
95991,0
96191,0
96391,0
96591,0
96791,0
96991,0
97191,0
97391,0
97591,0
97791,0
97991,0
98191,0
98391,0
98591,0
98791,0
98991,0
99191,0
99391,0
99591,0
99791,0
99991,0
100191,0
100391,0
100591,0
100791,0
100991,0
101191,0
101391,0
101591,0
101791,0
101991,0
102191,0
102391,0
102591,0
102791,0
102991,0
103191,0
103391,0
103591,0
103791,0
103991,0
104191,0
104391,0
104591,0
104791,0
104991,0
105191,0
105391,0
105591,0
105791,0
105991,0
106191,0
106391,0
106591,0
106791,0
106991,0
107191,0
107391,0
107591,0
107791,0
107991,0
108191,0
108391,0
108591,0
108791,0
108991,0
109191,0
109391,0
109591,0
109791,0
109991,0
110191,0
110391,0
110591,0
110791,0
110991,0
111191,0
111391,0
111591,0
111791,0
111991,0
112191,0
112391,0
112591,0
112791,0
112991,0
113191,0
113391,0
113591,0
113791,0
113991,0
114191,0
114391,0
114591,0
114791,0
114991,0
115191,0
115391,0
115591,0
115791,0
115991,0
116191,0
116391,0
116591,0
116791,0
116991,0
117191,0
117391,0
117591,0
117791,0
117991,0
118191,0
118391,0
118591,0
118791,0
118991,0
119191,0
119391,0
119591,0
119791,0
119991,0
120191,0
120391,0
120591,0
120791,0
120991,0
121191,0
121391,0
121591,0
121791,0
121991,0
122191,0
122391,0
122591,0
122791,0
122991,0
123191,0
123391,0
123591,0
123791,0
123991,0
