#{"t_start": 1774102525.8375263, "env_id": "None"}
r,l,t
-14.136808,120,4.404892
-10.124128,120,6.615806
-8.251074,120,8.615406
-5.544265,120,10.484144
-4.687709,100,12.417474
-4.680196,120,14.448238
-4.791714,100,16.592103
-3.169796,120,18.98767
-1.699585,100,20.903427
-4.40356,120,22.945255
-2.911584,120,25.108194
-3.112166,120,27.798934
-4.451477,100,29.609625
-3.638987,120,31.726002
-2.012835,100,33.758981
-2.240525,100,35.950139
-2.197817,120,38.386252
9.999986,36,39.069233
-3.980955,100,41.392287
-4.483875,120,43.252307
-1.467582,100,44.761918
-3.057367,120,47.30307
-2.740371,100,49.287139
-1.851736,120,51.571846
-2.073598,100,53.411812
-2.10827,100,55.248885
7.680897,89,56.983708
-4.013967,100,58.690916
-2.014249,120,60.978796
-2.565921,120,63.197112
-2.758365,100,65.219859
-1.63644,100,66.749106
-3.621076,120,68.911549
-1.492626,120,71.357901
-2.571608,100,73.13895
-2.141728,120,75.315968
-3.486365,100,76.917267
-1.394714,120,78.869228
-0.718237,100,80.60339
-1.048415,100,82.232977
-7.185356,120,84.451842
-1.479346,100,86.463511
-1.800518,120,88.953579
-1.810315,100,90.772102
-1.873289,120,92.979823
-1.760781,120,95.423494
-1.760033,120,98.18228
-1.59265,100,100.16656
-4.75047,120,102.493612
-0.447589,100,104.653982
-0.848421,100,106.727297
-1.160721,100,108.895139
-1.430965,120,110.884028
-1.656015,120,112.743982
-1.360018,120,114.938215
-1.27537,120,117.196654
-1.339264,100,119.34352
-1.540226,100,121.217752
-1.473607,120,124.129315
-1.14732,120,126.725277
-2.375163,120,129.102886
-1.22888,100,131.138783
-1.685813,100,133.198752
-1.05321,120,136.022463
9.969181,71,137.364813
-1.088636,120,139.878171
-1.198314,100,141.746078
-1.239588,100,143.779008
-1.920406,120,146.042835
-4.103704,120,147.896836
-0.651557,100,149.998937
-1.019819,120,152.514483
-1.687696,100,154.874849
-0.625636,100,156.877578
-1.360289,100,158.943926
-1.258683,100,161.093849
9.72107,84,162.867177
-1.432371,100,165.215448
-1.034761,120,168.099058
-0.739513,100,170.441325
-1.60181,120,173.043963
-1.640495,120,175.582972
-1.125769,100,177.930449
-0.607907,100,179.602634
-1.187327,120,181.787868
9.852553,82,183.128626
-1.047955,120,185.631294
-1.791044,120,187.816528
-1.012159,100,189.633369
-0.62671,100,191.620239
-1.649546,120,193.967468
-0.79923,100,196.074306
-1.569231,120,198.474213
-1.234912,100,200.260602
9.766292,89,202.004123
-1.278637,100,203.932057
-1.465455,120,206.335742
-0.679258,100,208.740737
-0.800869,120,211.213674
-0.799992,120,213.717361
-1.998596,100,215.217495
-5.001642,120,217.180775
-1.321801,100,218.585435
-0.544933,100,220.00359
-0.78224,120,221.963959
-1.307527,120,223.993715
-0.600692,100,226.316292
-2.646925,120,227.897982
9.980612,67,229.043201
10.488196,19,229.353966
-1.482885,100,231.14141
-0.900989,100,232.992037
