#{"t_start": 1774117949.2008903, "env_id": "None"}
r,l,t
-9.145343,150,9.367688
-1.368499,125,11.567907
-12.752256,150,14.364726
-13.167802,150,18.114515
-17.678217,200,21.65511
-19.042672,200,25.244162
-11.007318,200,29.928793
-14.485546,200,33.751888
-7.616369,150,36.391171
-8.685486,171,40.521805
-14.628446,200,44.238915
-3.96472,150,46.757771
-9.923874,200,51.013682
-5.020379,150,53.683913
-3.04777,200,58.39431
-6.141818,200,62.361662
-4.403816,93,64.014882
-6.182182,174,67.245874
-5.650784,200,72.058545
-3.85746,150,74.882673
-5.103427,200,79.493834
-6.526574,200,83.066413
-6.69169,200,86.511938
-6.154895,200,91.279717
-6.480248,190,94.827277
-5.67393,181,98.220147
-3.942605,118,101.339673
-3.29795,91,103.121666
-4.618688,145,105.814695
-5.159415,200,110.424073
-3.409479,150,113.234484
-1.584274,150,115.801436
-1.383205,40,116.514461
-5.182518,160,120.001733
-1.368267,41,120.730516
-4.123429,200,124.303934
-3.39409,150,127.04131
-1.579945,44,127.962879
-1.015389,150,131.488244
-3.79359,200,135.50472
-1.691636,54,136.519156
-4.240102,200,141.213396
-2.139843,150,144.150454
-2.351492,200,148.230246
-11.326691,200,152.753959
-2.665828,150,155.301869
-2.384775,150,157.923836
-3.050839,116,160.268646
-1.115385,36,161.095345
-2.297573,73,163.401829
8.720985,138,166.218883
-30.673032,200,170.23723
-1.50108,150,174.167954
-3.387561,200,178.122945
-4.063798,179,181.893017
-3.414505,97,184.712693
-1.184569,150,187.418121
-3.139684,150,190.187285
-4.042479,200,193.661734
-3.438908,200,198.746768
-1.853323,64,200.07222
-3.209278,200,203.190537
-2.379684,109,205.527226
-1.705833,200,208.65039
-1.18436,150,211.205456
-3.150361,200,215.584935
-1.137375,34,216.459176
-2.002403,150,219.450596
-2.04202,150,222.604865
-1.725182,62,223.58892
-3.067506,150,226.399379
-1.449231,150,228.920691
-3.753969,200,232.678028
-2.735662,200,237.430042
-1.6749,200,241.190255
-2.712472,200,246.00669
-1.485479,150,248.775029
-2.733358,200,252.459056
-1.177684,150,256.224167
-3.624687,197,259.732913
-2.356432,200,262.838675
14.314399,74,265.015401
-2.403619,150,267.796592
-1.722389,150,270.957572
-3.006865,200,274.541586
-2.729303,200,278.471157
-2.94258,200,282.339169
-13.517047,200,286.911494
-1.092404,150,289.824639
-2.071397,200,294.01036
-1.686303,150,297.695322
-3.933415,200,301.400841
-3.249621,200,305.31408
-2.770791,200,309.801801
-1.558469,200,313.778214
-0.987253,200,318.747313
14.801796,16,319.074939
14.741687,122,321.481076
-3.447675,200,325.148031
-1.347224,52,326.261476
-14.604521,200,331.123918
-0.57886,150,333.859692
-3.203576,200,337.785242
-1.667621,150,341.721552
-1.106764,43,342.766454
-2.555912,94,344.646639
-1.337157,150,347.408251
-2.554847,200,352.341479
-2.196449,150,355.285783
-3.179088,200,359.320345
-2.273312,150,363.039654
-2.083171,150,366.233224
-2.61601,150,368.871467
-2.30097,200,373.88459
-1.999827,150,377.503747
-2.38593,150,380.388905
-1.306432,200,385.574795
-3.470528,200,389.706751
-2.550896,200,393.642296
-2.730785,200,398.615404
-2.108315,150,401.371071
-2.612684,200,404.988359
-1.294408,150,408.484173
-2.141098,200,412.50556
-2.70996,82,413.915167
-2.898128,200,418.767565
-1.326686,150,421.712019
-2.33216,200,425.975413
-1.855223,150,429.86336
-2.725082,200,433.729207
-4.027757,150,436.661065
-11.731726,200,440.984382
14.777948,22,441.503868
-1.97807,150,444.310169
-2.15257,200,448.318078
10.199705,58,450.238256
-2.627901,200,454.029027
-1.189108,38,454.962442
-2.240943,150,457.828051
-1.647394,150,461.535956
-2.594078,200,465.592618
-1.853288,57,466.752529
-2.560763,200,471.492249
-2.970468,200,475.649772
14.562679,33,476.352412
-2.485679,150,479.008991
-2.795947,200,483.930984
-2.457177,200,487.663004
-2.975361,200,491.692062
-2.897865,200,496.9436
-2.835213,200,501.081486
-2.176246,112,503.387037
-2.448749,200,508.301171
-1.245127,41,509.174598
-2.661037,200,513.006634
-2.441904,80,514.772965
-3.964854,200,519.836298
-3.622079,200,523.834473
-1.38028,150,527.638307
-2.933065,200,531.573473
-2.815993,200,535.546172
-1.641769,58,536.828601
-2.550562,200,541.753557
-2.191029,112,544.040769
-2.170884,200,547.98925
-8.01236,200,552.492255
-13.327787,200,556.320442
-2.329843,150,559.674167
-3.218845,200,563.892822
-1.28659,150,566.722132
-3.042011,200,571.200765
-1.991599,100,573.27168
-4.538973,200,577.167905
-5.25001,200,582.143421
2.396107,200,585.55993
-2.100642,200,589.354227
-2.518586,134,593.114728
-2.532,150,595.935956
-1.890789,150,598.781423
-2.015531,150,601.592006
