#{"t_start": 1774608464.9851153, "env_id": "None"}
r,l,t
-66.739738,800,21.084104
-84.51711,800,40.786851
-83.406407,800,66.486978
-83.598226,800,85.934816
-78.903831,800,106.64371
-41.8738,800,129.173311
-13.537863,671,147.324808
-56.959342,800,170.868451
-21.879788,800,190.506949
-46.840624,800,211.348346
-20.817529,800,234.462973
-38.457748,800,254.461215
-39.723322,800,276.879108
-30.159858,800,296.399099
-51.12029,800,315.141116
-29.722995,800,336.823705
-21.453844,800,355.865114
-40.96038,800,375.873355
-31.318902,800,397.698394
-2.045927,800,418.060807
-7.635479,610,435.674523
12.465598,713,454.107951
5.91053,800,474.523319
-44.287121,800,496.711229
-5.062565,645,512.357307
-17.61392,800,532.704371
-35.275766,800,555.083212
-10.095551,800,575.285017
4.811482,617,590.340528
6.350535,488,604.887099
3.300547,545,618.68514
40.999869,649,631.920393
-0.695284,476,645.673839
8.146878,371,655.184018
0.41686,630,671.239662
8.357652,374,680.696815
0.394551,577,695.723042
13.618114,260,705.18047
14.71801,303,712.590873
17.731304,351,721.423276
14.112852,437,732.329194
4.307432,731,750.957452
25.547255,600,767.909386
32.874172,654,784.003973
17.334559,472,795.306345
36.208993,482,809.179277
15.456608,157,812.989527
7.274902,325,820.693597
14.211154,396,830.263054
11.280843,476,841.687296
