timestep,task,success,health,food_level,crops_harvested,mobs_killed,episode_steps
43809,multitask,0,20.0,20,0,0,800
44609,multitask,0,14.32,20,0,0,800
45409,multitask,0,20.0,20,0,0,800
46209,multitask,0,20.0,20,0,0,800
47009,multitask,0,20.0,20,3,0,800
47809,multitask,0,20.0,20,3,0,800
48480,multitask,1,20.0,20,5,0,671
49280,multitask,0,14.896,20,4,0,800
50080,multitask,0,19.104,20,3,0,800
50880,multitask,0,14.32,20,3,0,800
51680,multitask,0,19.104,20,5,0,800
52480,multitask,0,20.0,20,5,0,800
53280,multitask,0,20.0,20,4,0,800
54080,multitask,0,20.0,20,3,0,800
54880,multitask,0,16.688,20,4,0,800
55680,multitask,0,20.0,20,4,0,800
56480,multitask,0,20.0,20,5,0,800
57280,multitask,0,16.112,20,4,0,800
58080,multitask,0,20.0,20,4,0,800
58880,multitask,0,20.0,20,4,0,800
59490,multitask,1,19.104,20,5,0,610
60203,multitask,1,20.0,20,5,0,713
61003,multitask,0,17.976,20,5,0,800
61803,multitask,0,17.008,20,5,0,800
62448,multitask,1,19.104,20,5,0,645
63248,multitask,0,20.0,20,5,0,800
64048,multitask,0,17.312,20,5,0,800
64848,multitask,0,15.792,20,4,0,800
65465,multitask,1,20.0,20,5,0,617
65953,multitask,1,20.0,20,5,0,488
66498,multitask,1,20.0,20,5,0,545
67147,multitask,1,20.0,20,5,0,649
67623,multitask,1,20.0,20,5,0,476
67994,multitask,1,20.0,20,5,0,371
68624,multitask,1,18.176,20,5,0,630
68998,multitask,1,20.0,20,5,0,374
69575,multitask,1,20.0,20,5,0,577
69835,multitask,1,20.0,20,5,0,260
70138,multitask,1,20.0,20,5,0,303
70489,multitask,1,19.104,20,5,0,351
70926,multitask,1,19.104,20,5,0,437
71657,multitask,1,16.064,20,5,0,731
72257,multitask,1,18.752,20,5,0,600
72911,multitask,1,18.128,20,5,0,654
73383,multitask,1,19.376,20,5,0,472
73865,multitask,1,19.376,20,5,0,482
74022,multitask,1,20.0,20,5,0,157
74347,multitask,1,20.0,20,5,0,325
74743,multitask,1,18.752,20,5,0,396
75219,multitask,1,20.0,20,5,0,476
