episode,timestep,level,success,rolling_success_rate
1,100,1,0,0.0
2,200,1,0,0.0
3,300,1,0,0.0
4,400,1,0,0.0
5,500,1,0,0.0
6,600,1,0,0.0
7,700,1,0,0.0
8,800,1,0,0.0
9,900,1,0,0.0
10,1000,1,0,0.0
11,1100,1,0,0.0
12,1151,1,1,0.0833
13,1251,1,0,0.0769
14,1351,1,0,0.0714
15,1451,1,0,0.0667
16,1551,1,0,0.0625
17,1651,1,0,0.0588
18,1751,1,0,0.0556
19,1851,1,0,0.0526
20,1951,1,0,0.05
21,2051,1,0,0.05
22,2151,1,0,0.05
23,2251,1,0,0.05
24,2351,1,0,0.05
25,2451,1,0,0.05
26,2551,1,0,0.05
27,2651,1,0,0.05
28,2751,1,0,0.05
29,2797,1,1,0.1
30,2897,1,0,0.1
31,2997,1,0,0.1
32,3097,1,0,0.05
33,3197,1,0,0.05
34,3297,1,0,0.05
35,3397,1,0,0.05
36,3497,1,0,0.05
37,3597,1,0,0.05
38,3697,1,0,0.05
39,3797,1,0,0.05
40,3897,1,0,0.05
41,3997,1,0,0.05
42,4097,1,0,0.05
43,4197,1,0,0.05
44,4297,1,0,0.05
45,4397,1,0,0.05
46,4497,1,0,0.05
47,4597,1,0,0.05
48,4697,1,0,0.05
49,4797,1,0,0.0
50,4897,1,0,0.0
51,4997,1,0,0.0
52,5097,1,0,0.0
53,5197,1,0,0.0
54,5297,1,0,0.0
55,5397,1,0,0.0
56,5497,1,0,0.0
57,5597,1,0,0.0
58,5697,1,0,0.0
59,5797,1,0,0.0
60,5897,1,0,0.0
61,5912,1,1,0.05
62,5992,1,1,0.1
63,6092,1,0,0.1
64,6192,1,0,0.1
65,6292,1,0,0.1
66,6392,1,0,0.1
67,6492,1,0,0.1
68,6592,1,0,0.1
69,6692,1,0,0.1
70,6792,1,0,0.1
71,6892,1,0,0.1
72,6992,1,0,0.1
73,7092,1,0,0.1
74,7192,1,0,0.1
75,7292,1,0,0.1
76,7392,1,0,0.1
77,7492,1,0,0.1
78,7592,1,0,0.1
79,7692,1,0,0.1
80,7792,1,0,0.1
81,7892,1,0,0.05
82,7992,1,0,0.0
83,8092,1,0,0.0
84,8192,1,0,0.0
85,8292,1,0,0.0
86,8309,1,1,0.05
87,8409,1,0,0.05
88,8509,1,0,0.05
89,8609,1,0,0.05
90,8709,1,0,0.05
91,8809,1,0,0.05
92,8909,1,0,0.05
93,9009,1,0,0.05
94,9109,1,0,0.05
95,9209,1,0,0.05
96,9309,1,0,0.05
97,9392,1,1,0.1
98,9492,1,0,0.1
99,9592,1,0,0.1
