#{"t_start": 1774279009.95746, "env_id": "None"}
r,l,t
-17.380636,150,10.990794
-13.497107,150,14.80653
5.540453,47,16.131793
-15.392332,150,19.846486
-15.104446,150,23.595695
-17.474975,150,27.305712
-20.442636,150,30.827753
0.713107,78,32.727789
-15.95092,150,36.322145
-12.595515,150,39.878998
-20.568339,150,43.494701
-16.112521,150,47.109745
-16.620952,150,50.486403
-12.407956,150,54.472575
-16.300113,150,60.677245
-11.501547,150,64.414703
-9.350389,150,68.020371
-9.885746,150,71.233673
4.018226,37,71.925747
-9.75782,150,75.777466
-8.800392,150,79.331239
8.801574,54,80.514959
-10.359208,150,84.267905
-11.510718,150,87.959937
-10.259474,150,91.52065
-10.592512,150,95.356511
-13.56975,150,99.168988
-9.253577,150,102.840144
-11.983429,150,106.47889
-10.376478,150,112.855801
-14.483113,150,116.603626
-11.00256,150,120.447475
-9.129775,150,124.259217
9.517027,12,124.608574
-7.512346,150,128.390303
8.739079,37,129.232245
-9.998139,150,132.907165
-9.511465,150,136.719557
-11.603457,150,140.510287
-8.144614,150,144.110012
-8.355875,150,147.811123
-8.099295,150,151.578496
-8.292057,150,155.209131
-7.945625,150,158.985913
-7.943795,150,162.404137
-8.996894,150,168.815195
-8.957342,150,172.664796
-8.429572,150,176.570615
-11.933901,150,180.227188
-8.052281,150,183.527834
-6.601539,150,187.235926
-8.297942,150,190.874153
-4.904208,150,194.369433
-6.239401,150,198.042564
-6.876934,150,201.777746
-7.154431,150,205.341328
9.648421,20,205.798801
-6.579304,150,209.235681
-9.513603,150,213.047124
-6.199903,150,218.716813
-7.184597,150,222.24434
-6.903029,150,226.004536
7.179837,105,228.496244
-7.165028,150,232.22666
-6.77434,150,236.404299
-9.485223,150,240.072093
-5.669406,150,243.550241
-6.286124,150,246.945398
-9.511354,150,250.394253
-8.290994,150,254.136117
-7.497511,150,257.844206
8.656419,36,258.661873
-8.017982,150,262.469221
6.788706,92,264.671764
-5.836726,150,271.064126
7.931041,48,272.317965
-5.770828,150,276.178631
9.748631,16,276.467626
-7.379265,150,280.118399
-7.530549,150,284.035888
-6.321348,150,287.650933
-9.569458,150,291.15999
-7.043333,150,295.000831
7.880505,31,295.814729
-5.366589,150,299.478961
6.395109,58,300.784249
-6.000778,150,304.629719
-6.534235,150,307.921819
-8.160112,150,311.40133
-5.778125,150,315.168009
-7.246552,150,318.675293
9.614276,31,319.313889
-7.314105,150,325.492389
9.10121,27,326.236618
-4.692301,150,329.955055
-6.341446,150,333.687875
-5.194466,150,337.258608
-5.397168,150,340.662621
-3.925482,150,344.369079
-6.798153,150,348.093086
-6.467248,150,351.790086
-5.966962,150,355.893415
-6.713709,150,359.420484
-6.200759,150,363.341415
-8.763185,150,367.104299
6.584632,140,370.258153
5.208458,42,371.411886
-5.676082,150,377.766938
-7.606444,150,381.323095
-6.999213,150,385.124558
-4.375751,150,389.065855
8.619398,48,390.251223
-3.765365,150,394.08653
-7.005879,150,397.870896
9.839184,21,398.392118
-6.955902,150,402.212793
-5.811285,150,406.087849
-7.964769,150,409.772544
-9.787511,150,413.623272
-6.562284,150,417.366033
-8.405717,150,421.655244
9.545805,17,422.063892
-6.373005,150,425.82128
-6.516851,150,431.935911
-8.457351,150,436.175307
9.739966,25,436.904688
-8.341298,150,440.811135
-5.417673,150,444.901413
-6.982238,150,448.868923
-7.260065,150,452.930552
8.951295,31,453.770363
-6.112237,150,457.437496
5.984009,114,460.465481
-5.06817,150,464.157666
-8.218647,150,468.027967
-8.463888,150,471.753677
9.313156,38,472.660046
-4.779928,150,476.464758
-5.007194,150,480.203552
-5.180266,150,486.536478
6.203019,63,488.14473
-7.445763,150,492.024124
-6.146294,150,495.717299
-5.923136,150,499.719285
-6.385376,150,503.727695
-9.143969,150,507.537068
-6.845711,150,511.447365
9.13334,44,512.491499
-6.272314,150,516.323907
9.303878,41,517.307916
9.696936,29,518.007776
-5.45357,150,521.712303
-7.700432,150,525.174792
-6.305372,150,528.81703
9.522887,37,529.799141
-5.711147,150,533.310281
