timestep,level,success
150,1,0
300,1,0
347,1,1
497,1,0
647,1,0
797,1,0
947,1,0
1025,1,1
1175,1,0
1325,1,0
1475,1,0
1625,1,0
1775,1,0
1925,1,0
2075,1,0
2225,1,0
2375,1,0
2525,1,0
2562,1,1
2712,1,0
2862,1,0
2916,1,1
3066,1,0
3216,1,0
3366,1,0
3516,1,0
3666,1,0
3816,1,0
3966,1,0
4116,1,0
4266,1,0
4416,1,0
4566,1,0
4578,1,1
4728,1,0
4765,1,1
4915,1,0
5065,1,0
5215,1,0
5365,1,0
5515,1,0
5665,1,0
5815,1,0
5965,1,0
6115,1,0
6265,1,0
6415,1,0
6565,1,0
6715,1,0
6865,1,0
7015,1,0
7165,1,0
7315,1,0
7465,1,0
7615,1,0
7765,1,0
7785,1,1
7935,1,0
8085,1,0
8235,1,0
8385,1,0
8535,1,0
8640,1,1
8790,1,0
8940,1,0
9090,1,0
9240,1,0
9390,1,0
9540,1,0
9690,1,0
9840,1,0
9876,1,1
10026,1,0
10118,1,1
10268,1,0
10316,1,1
10466,1,0
10482,1,1
10632,1,0
10782,1,0
10932,1,0
11082,1,0
11232,1,0
11263,1,1
11413,1,0
11471,1,1
11621,1,0
11771,1,0
11921,1,0
12071,1,0
12221,1,0
12252,1,1
12402,1,0
12429,1,1
12579,1,0
12729,1,0
12879,1,0
13029,1,0
13179,1,0
13329,1,0
13479,1,0
13629,1,0
13779,1,0
13929,1,0
14079,1,0
14219,1,1
14261,1,1
14411,1,0
14561,1,0
14711,1,0
14861,1,0
14909,1,1
15059,1,0
15209,1,0
15230,1,1
15380,1,0
15530,1,0
15680,1,0
15830,1,0
15980,1,0
16130,1,0
16147,1,1
16297,1,0
16447,1,0
16597,1,0
16622,1,1
16772,1,0
16922,1,0
17072,1,0
17222,1,0
17253,1,1
17403,1,0
17517,1,1
17667,1,0
17817,1,0
17967,1,0
18005,1,1
18155,1,0
18305,1,0
18455,1,0
18518,1,1
18668,1,0
18818,1,0
18968,1,0
19118,1,0
19268,1,0
19418,1,0
19462,1,1
19612,1,0
19653,1,1
19682,1,1
19832,1,0
19982,1,0
20132,1,0
20169,1,1
20319,1,0
20469,1,0
20504,1,1
20615,1,1
20765,1,0
20845,1,1
20995,1,0
21108,1,1
21258,1,0
21341,1,1
21491,1,0
21641,1,0
21791,1,0
21941,1,0
22091,1,0
22241,1,0
22391,1,0
22541,1,0
22662,1,1
22812,1,0
22855,1,1
23005,1,0
23155,1,0
23297,1,1
23447,1,0
23597,1,0
23747,1,0
23777,1,1
23927,1,0
23943,1,1
24093,1,0
24243,1,0
24393,1,0
24543,1,0
24693,1,0
24843,1,0
24993,1,0
25143,1,0
25159,1,1
25309,1,0
25459,1,0
25497,1,1
25647,1,0
25778,1,1
25913,1,1
26063,1,0
26213,1,0
26237,1,1
26288,1,1
26438,1,0
26588,1,0
26738,1,0
26888,1,0
26959,1,1
27109,1,0
27259,1,0
27409,1,0
27559,1,0
27709,1,0
27859,1,0
28009,1,0
28088,1,1
28238,1,0
28388,1,0
28538,1,0
28688,1,0
28838,1,0
28988,1,0
29042,1,1
29159,1,1
29309,1,0
29413,1,1
29425,1,1
29575,1,0
29725,1,0
29875,1,0
29988,1,1
30109,1,1
30259,1,0
30282,1,1
30432,1,0
30582,1,0
30732,1,0
30882,1,0
31032,1,0
31142,1,1
31163,1,1
31313,1,0
31463,1,0
31502,1,1
31520,1,1
