#{"t_start": 1774102369.7895386, "env_id": "None"}
r,l,t
-6.959666,100,4.269566
-6.4778,100,5.908708
-4.776027,100,7.907666
-6.112197,100,9.588353
-7.565867,100,11.349447
8.262993,59,12.706705
-3.192882,100,14.479867
-4.929031,100,16.223646
-5.870463,100,18.296964
-2.743584,100,20.080535
-3.507689,100,22.059404
-3.915666,100,24.004497
-2.523809,100,25.934323
-2.261539,100,27.850302
-5.085696,100,29.505789
-3.093162,100,31.376132
8.321699,63,32.6455
10.082826,38,33.441058
-3.260579,100,35.266
-1.934146,100,37.352989
-2.274049,100,39.409215
-2.63727,100,41.722319
-1.617368,100,43.560891
9.490241,49,44.506521
-2.331318,100,46.577548
-1.653699,100,48.411833
9.759331,51,49.410609
-2.230397,100,51.377112
-2.759959,100,53.71988
-1.620392,100,55.730027
9.370984,48,56.648563
-4.734821,100,58.61383
-1.677197,100,60.517089
-1.0702,100,62.305331
-2.03181,100,63.805884
-2.965441,100,65.695773
10.089138,37,66.684165
-2.857113,100,68.468962
9.937575,32,69.108193
10.12,26,69.749341
-2.216924,100,71.873182
-1.72629,100,73.97104
-2.216264,100,75.853911
-2.165208,100,77.942781
-1.19092,100,80.031687
-1.711358,100,82.47873
-1.84266,100,84.342655
-2.318218,100,86.468517
10.290095,37,86.975755
10.43,25,87.73429
-2.43035,100,89.695658
10.453025,21,90.227676
9.338471,73,91.771324
10.239457,32,92.275831
-2.142908,100,94.484709
10.292699,27,94.868131
-2.856607,100,96.417356
-1.876453,100,98.323611
10.317656,27,98.778913
-1.544369,100,100.694338
