#{"t_start": 1774417216.9971836, "env_id": "None"}
r,l,t
-6.526164,187,15.138032
-6.758629,155,22.709448
-8.712832,175,31.234873
-5.415284,151,38.463611
-4.198833,109,43.88414
-7.049543,193,53.071876
-6.007923,185,62.136938
-12.376075,209,72.368033
-8.357399,181,80.388368
-9.318579,175,88.939935
-7.120957,142,95.951684
-6.932322,168,104.386087
-7.987178,129,113.655317
-9.354593,188,122.405971
-4.970273,130,128.431221
-6.062485,118,134.063131
-9.160739,176,142.254673
-8.601485,146,149.188231
-8.214683,200,158.769886
-8.437536,190,168.202972
-5.412208,137,174.570439
-8.058921,148,182.083089
-6.840527,206,192.12117
-5.446359,191,201.454533
-8.614895,185,212.893687
-8.67444,197,222.625529
-5.908043,115,228.437672
8.448027,96,233.200634
-3.517159,119,239.181039
-9.225042,202,249.883992
7.217348,127,256.657263
-6.404814,117,263.040934
-4.976752,131,269.789694
-2.824758,112,275.424796
-6.310873,197,285.764403
-4.368462,119,292.074314
-4.706009,107,297.925343
-6.316945,204,308.605231
-5.859042,144,318.433805
-4.582828,204,328.892025
-7.065024,208,339.486165
-5.671921,185,349.062412
-7.191604,139,356.236258
-6.029849,174,365.128882
8.849696,105,370.133416
-5.373227,121,376.169642
-6.477149,206,386.444023
-6.460186,127,392.964425
-7.498019,124,399.101501
-3.784218,131,405.628718
-4.565676,108,411.591442
-7.125476,166,419.867085
-6.156533,168,431.136379
-3.644129,126,437.184613
-4.014186,183,446.274512
-5.419112,191,455.824858
-5.280611,145,463.691128
-5.838661,133,470.476338
-4.522733,177,479.655039
-6.465224,206,489.748528
-6.304699,187,499.041559
-6.585999,205,508.782592
-6.19765,135,515.284061
-3.401915,153,522.763149
-5.862321,164,532.822272
-6.617983,203,542.214442
-6.242837,154,549.536813
-6.048921,141,556.462249
-4.469327,134,562.664087
-4.571602,119,568.43804
7.566985,159,576.256903
-6.480354,176,585.087495
-4.822211,143,591.732094
-4.992768,201,601.23628
-5.680706,197,610.743203
-7.226347,174,619.328332
-6.26112,208,631.507567
7.084145,143,638.402492
-4.589857,192,648.046969
9.901587,51,650.62438
-6.348337,173,659.092039
-7.698362,202,668.567568
7.710947,161,676.649383
