#{"t_start": 1774181056.7920475, "env_id": "None"}
r,l,t
-16.363813,150,6.325683
-14.613598,150,8.564924
-14.477262,150,11.154355
-19.373053,150,14.141171
-18.01923,150,17.408903
-22.415527,150,20.568096
-22.836752,150,23.652143
-16.633143,150,27.047754
-13.159646,150,30.277167
-19.386222,150,32.719948
-11.942249,150,35.831304
-11.810444,150,38.372825
-13.588061,150,40.585325
-14.746977,150,44.078195
-7.813265,150,46.650834
-12.208467,150,49.607792
-10.618442,150,52.235355
-9.163104,150,55.980154
-11.602343,150,59.313533
-13.952009,150,62.317069
-10.030382,150,64.458163
-13.118163,150,67.35777
-12.261374,150,71.213988
-11.493922,150,74.688436
-11.746165,150,78.442147
-13.879174,150,82.438085
-12.39352,150,85.271628
-9.311831,150,88.55599
-7.565045,150,91.774426
-10.080184,150,95.29369
-6.512196,150,98.386283
6.412846,111,100.757722
-7.035213,150,102.959177
-8.984946,150,106.240565
-11.008684,150,109.135358
-8.838152,150,112.172848
-6.201446,150,115.418957
-11.167714,150,118.859175
-7.592086,150,122.454668
-10.493639,150,125.496888
-8.202342,150,127.978908
-7.532718,150,132.798454
-7.048013,150,135.931106
-10.695897,150,139.311538
-7.520884,150,142.843448
-7.830342,150,146.037588
-8.456798,150,149.760954
-6.688556,150,153.31057
-8.238456,150,156.594053
-8.968287,150,160.302626
-7.49512,150,163.737919
-5.492722,150,166.658362
-6.897872,150,169.507756
-10.384417,150,173.012444
7.558213,75,174.71423
-8.341717,150,180.345677
-4.476285,150,183.658138
-8.131145,150,187.077751
-4.70227,150,190.366403
-6.32317,150,193.977242
-9.323884,150,197.510772
-6.751258,150,200.998997
-10.623602,150,203.696547
-8.039034,150,206.798909
-4.548778,150,210.004545
-7.91726,150,213.588038
6.598649,140,216.587698
-5.353736,150,220.055051
-5.796084,150,223.734675
-4.950042,150,229.398966
-7.537865,150,232.689878
-8.571218,150,236.216161
-7.947838,150,239.5969
-6.748136,150,242.148363
-9.283726,150,244.866152
-6.628107,150,247.72388
-9.371882,150,251.127593
-5.080903,150,254.443627
-3.842352,150,258.193763
-9.224872,150,261.505594
-9.266815,150,265.122117
-8.65292,150,268.293869
-7.487105,150,273.749204
-5.71911,150,276.877022
-4.678719,150,279.807366
-9.337185,150,282.940361
-6.1385,150,286.393733
-8.143293,150,289.939882
-5.802817,150,293.530815
-6.311608,150,296.86254
-11.023612,150,300.659857
-5.203914,150,304.202634
7.039722,105,306.433863
-8.480489,150,309.970877
-7.180938,150,313.541656
6.648931,128,316.016648
-6.360716,150,320.807807
-5.677679,150,324.009977
-4.675351,150,327.14782
-5.253231,150,330.70259
-5.938316,150,334.404309
-6.559208,150,337.859216
-6.590849,150,341.24422
-6.855701,150,345.155036
-5.772682,150,348.81515
-9.265631,150,352.003348
-4.534974,150,355.247254
-5.117911,150,358.139938
-7.282917,150,361.595054
-5.413421,150,365.018598
-4.287778,150,370.76849
8.550921,94,372.905898
-6.547717,150,376.015974
-12.798873,150,379.261956
-6.176583,150,382.79894
-5.989005,150,386.258745
-5.187229,150,389.834849
-6.163743,150,392.702125
-6.892474,150,395.563323
-7.845507,150,398.548424
-5.685696,150,402.054737
-4.13814,150,405.400423
-6.278327,150,409.025537
-6.192137,150,412.54714
-3.365392,150,418.447143
-8.248837,150,422.244477
5.297081,98,424.564306
-3.128417,150,427.869575
-7.884956,150,431.013323
-5.138163,150,433.649274
-6.150146,150,436.394122
-30.151251,150,439.825077
-6.566111,150,443.388107
-5.072124,150,446.906028
-5.082055,150,450.449323
-7.487311,150,454.00729
-2.416634,150,457.174175
