#{"t_start": 1774195295.0941722, "env_id": "None"}
r,l,t
-13.468759,150,5.878245
-14.397402,150,8.592649
-17.249681,150,11.448747
-16.656427,150,14.231119
-18.281101,150,16.961448
-12.378913,150,19.804105
-11.224916,150,22.705059
-17.080812,150,25.660445
-15.454809,150,28.722162
-14.659344,150,31.972364
-16.104143,150,34.812308
-15.950313,150,37.979164
-13.482959,150,41.256493
-18.261325,150,47.070538
-14.375685,150,50.176412
-8.837129,150,52.975195
-12.350077,150,55.58926
-14.578973,150,58.464186
-10.525353,150,61.322351
-9.787761,150,64.349183
-12.452317,150,67.328746
4.079302,86,69.101263
-11.493089,150,72.048374
-10.513775,150,75.058681
-9.526102,150,78.100409
-16.580666,150,81.07107
-19.1814,150,84.589968
-16.834013,150,90.071609
-8.960182,150,93.051526
-6.665325,150,95.980072
-12.085596,150,98.906688
-11.59705,150,101.909544
-15.250611,150,105.138733
-11.249396,150,108.226583
-7.137527,150,111.285155
-8.53618,150,114.460577
-10.506877,150,117.324224
-8.933231,150,120.510617
-8.559023,150,123.639721
-10.142501,150,126.630428
-9.912427,150,129.618526
-8.740529,150,134.749934
-9.27135,150,137.425251
-10.646049,150,140.271124
-7.900788,150,143.338911
-9.236994,150,146.448824
-8.764742,150,149.549071
-3.661222,150,152.613247
6.238885,110,155.096778
-6.215665,150,157.886467
-7.915894,150,160.954855
-9.172106,150,164.147326
-8.481717,150,167.295996
-12.248729,150,170.390908
-7.586526,150,173.27426
-8.149608,150,178.382519
-6.62824,150,181.345256
-10.178947,150,184.280563
-8.231781,150,187.531709
-6.221891,150,190.498145
-3.397793,150,193.803798
-3.298885,150,196.914372
8.92827,63,198.284979
-6.282258,150,201.296237
-10.29142,150,204.564976
-7.226048,150,207.745242
-7.586987,150,210.896845
-7.184252,150,213.834255
-6.218901,150,216.633905
-5.231843,150,221.95336
-6.354843,150,224.93359
-8.295362,150,228.726943
-7.240437,150,231.932465
-5.323992,150,235.270804
6.950419,131,238.079794
-3.621955,150,241.440179
-7.459462,150,244.597292
-7.812422,150,247.545357
-13.511179,150,250.679006
-6.366458,150,253.29149
-8.624182,150,256.116549
-3.281998,150,258.699684
-6.740538,150,261.648954
-6.54722,150,267.086181
-4.919913,150,270.13016
-6.427763,150,273.288585
-5.441045,150,276.05205
-7.468699,150,279.064109
-6.337887,128,281.735538
-7.16608,150,285.071222
-7.176106,150,288.259333
9.739922,52,289.122937
-6.347071,150,291.831345
-5.286877,150,294.630182
-5.601358,150,297.418783
-3.859882,150,300.246205
-8.327114,150,303.246843
-4.96496,150,309.026291
-3.377211,150,311.916647
-4.769272,150,315.40876
-6.200992,150,318.463007
-4.321445,150,321.555623
-5.159188,150,324.724384
8.373776,95,326.755242
-5.037737,150,329.968358
-7.71049,150,332.723599
-7.158894,150,335.319927
-7.943318,150,338.168541
-6.806397,150,341.128762
-3.418461,150,343.964408
-6.348829,150,346.960004
-4.839401,150,352.501035
-4.045131,150,355.509337
-3.535345,150,358.632488
-4.331067,150,361.863191
-3.681589,150,364.744714
-5.753521,150,367.848665
-4.540598,150,370.8999
-5.450546,150,373.688775
-10.261738,150,376.52911
-4.72455,150,379.478861
-8.595694,150,382.392832
-4.678271,150,385.231912
7.052524,129,387.952395
-4.989049,150,391.29218
-3.112444,150,397.215934
-6.077102,150,400.365737
-4.05006,150,403.474719
-5.133649,150,406.5914
-5.536438,150,409.451052
