timestep,success
150,0
300,0
450,0
600,0
750,0
900,0
1050,0
1200,0
1350,0
1500,0
1650,0
1800,0
1950,0
2100,0
2250,0
2400,0
2550,0
2700,0
2850,0
3000,0
3150,0
3236,1
3386,0
3536,0
3686,0
3836,0
3986,0
4136,0
4286,0
4436,0
4586,0
4736,0
4886,0
5036,0
5186,0
5336,0
5486,0
5636,0
5786,0
5936,0
6086,0
6236,0
6386,0
6536,0
6686,0
6836,0
6986,0
7136,0
7246,1
7396,0
7546,0
7696,0
7846,0
7996,0
8146,0
8296,0
8446,0
8596,0
8746,0
8896,0
9046,0
9196,0
9259,1
9409,0
9559,0
9709,0
9859,0
10009,0
10159,0
10309,0
10459,0
10609,0
10759,0
10909,0
11040,1
11190,0
11340,0
11490,0
11640,0
11790,0
11940,0
12090,0
12240,0
12390,0
12540,0
12690,0
12840,0
12990,0
13118,0
13268,0
13418,0
13470,1
13620,0
13770,0
13920,0
14070,0
14220,0
14370,0
14520,0
14670,0
14820,0
14970,0
15120,0
15215,1
15365,0
15515,0
15665,0
15815,0
15965,0
16115,0
16265,0
16415,0
16565,0
16715,0
16865,0
17015,0
17165,0
17315,0
17465,0
17615,0
17765,0
17915,0
18065,0
18194,1
18344,0
18494,0
18644,0
18794,0
18944,0
19094,0
19244,0
19394,0
19544,0
19694,0
19844,0
19994,0
20144,0
20294,0
20444,0
20594,0
20744,0
20894,0
21044,0
21194,0
21344,0
21494,0
21644,0
21794,0
21944,0
22094,0
22244,0
22394,0
22544,0
22694,0
22844,0
22994,0
23144,0
23294,0
23444,0
23594,0
23744,0
23894,0
24044,0
24163,1
24289,1
24439,0
24525,1
24675,0
24825,0
24975,0
25125,0
25275,0
25411,1
25561,0
25711,0
25861,0
26011,0
26161,0
26311,0
26461,0
26611,0
26761,0
26911,0
27061,0
27211,0
27361,0
27511,0
27572,1
27722,0
27872,0
28022,0
28172,0
28322,0
28472,0
28622,0
28772,0
28922,0
29072,0
29222,0
29372,0
29522,0
29672,0
29822,0
29972,0
30122,0
30272,0
30422,0
30572,0
30722,0
30872,0
31022,0
31172,0
31322,0
31472,0
31622,0
31769,1
31919,0
32069,0
32219,0
32369,0
32519,0
32669,0
32819,0
32882,1
33032,0
33133,0
33283,0
33433,0
33583,0
33733,0
33883,0
34033,0
34183,0
34333,0
34483,0
34633,0
34744,0
34894,0
35044,0
35194,0
35344,0
35494,0
35644,0
35794,0
35944,0
36094,1
36244,0
36394,0
36544,0
36694,0
36844,0
36994,0
37144,0
37294,0
37444,0
37594,0
37744,0
37894,0
38044,0
38194,0
38344,0
38494,0
38644,0
38794,0
38944,0
39094,0
39244,0
39394,0
39544,0
39694,0
39844,0
39994,0
40144,0
40294,0
40444,0
40594,0
40744,0
40894,0
41044,0
41194,0
41282,1
41432,0
41582,0
41732,0
41882,0
42032,0
42182,0
42332,0
42482,0
42632,0
42782,0
42932,0
43010,1
43160,0
43289,0
43351,1
43496,0
43646,0
43783,0
43933,0
44083,0
44233,0
44383,0
44533,0
44683,0
44833,0
44983,0
45133,0
45276,0
45348,1
45498,0
45648,0
45798,0
45948,0
46098,0
46248,0
46398,0
46534,0
46684,0
46834,0
46984,0
47134,0
47284,0
47434,0
47584,0
47734,0
47884,0
48034,0
48184,0
48334,0
48484,0
48565,1
48715,0
48865,0
49015,0
49165,0
49237,1
49387,0
49537,0
49687,0
49837,0
49987,0
50087,1
50237,0
50387,0
50537,0
50687,0
50837,0
50987,0
51137,0
51287,0
51437,0
51587,0
51737,0
51887,0
52037,0
52187,0
52337,0
52487,0
52637,0
52787,0
52937,0
53087,0
53237,0
53387,0
53537,0
53687,0
53837,0
53987,0
54137,0
54287,0
54437,0
54587,0
54737,0
54887,0
55037,0
55187,0
55337,0
55487,0
55637,0
55787,0
55937,0
56087,0
56237,0
56387,0
56537,0
56620,1
56770,0
56845,1
56995,0
57145,0
57295,0
57445,0
57595,0
57745,0
57874,1
58024,0
58174,0
58324,0
58474,0
58624,0
58774,0
58924,0
59074,0
59224,0
59374,0
59524,0
59674,0
59824,0
59974,0
60124,0
60274,0
60424,0
60574,0
60724,0
60874,0
61024,0
61174,0
61324,0
61474,0
61624,0
61774,0
61924,0
62074,0
62224,0
62374,0
62524,0
62674,0
62824,0
62972,1
63077,1
63227,0
63377,0
63527,0
63677,0
63827,0
63977,0
64016,1
64166,0
64316,0
64466,0
64616,0
64691,1
64841,0
64991,0
65141,0
65291,0
65441,0
65591,0
65741,0
65891,0
66041,0
66191,0
66341,0
66491,0
66641,0
66791,0
66941,0
67091,0
67241,0
67391,0
67541,0
67691,0
67841,0
67991,0
68141,0
68291,0
68441,0
68591,0
68741,0
68891,0
69041,0
69191,0
69341,0
69491,0
69641,0
69791,0
69941,0
70091,0
70144,1
70294,0
70444,0
70594,0
70744,0
70894,0
71044,0
71194,0
71344,0
71494,0
71644,0
71794,0
71944,0
72094,0
72244,0
72394,0
72544,0
72694,0
72844,0
72994,0
73144,0
73294,0
73444,0
73594,0
73744,0
73894,0
74044,0
74194,0
74344,0
74494,0
74644,0
74794,0
74944,0
75094,0
75244,0
75394,0
75544,0
75694,0
75844,0
75950,1
76100,0
76250,0
76400,0
76529,1
76679,0
76829,0
76979,0
77129,0
77205,1
77339,1
77489,0
77639,0
77789,0
77939,0
78089,0
78239,0
78389,0
78539,0
78689,0
78839,0
78989,0
79139,0
79289,0
79395,1
79545,0
79695,0
79845,0
79995,0
80145,0
80295,0
80371,1
80521,0
80671,0
80821,0
80971,0
81121,0
81271,0
81421,0
81571,0
81721,0
81871,0
82021,0
82171,0
82321,0
82471,0
82621,0
82771,0
82921,0
83071,0
83218,1
83288,1
83438,0
83588,0
83738,0
83888,0
84038,0
84188,0
84338,0
84488,0
84638,0
84788,0
84938,0
85088,0
85238,0
85388,0
85538,0
85688,0
85838,0
85988,0
86138,0
86288,0
86438,0
86588,0
86738,0
86888,0
86978,1
87128,0
87278,0
87428,0
87578,0
87728,0
87878,0
88028,0
88178,0
88328,0
88478,0
88628,0
88750,1
88814,1
88964,0
89070,1
89220,0
89370,0
89520,0
89670,0
89820,0
89970,0
90120,0
90270,0
90420,0
90570,0
90642,1
90792,0
90942,0
91092,0
91242,0
91392,0
91542,0
91644,1
91794,0
91862,1
92012,0
92162,0
92312,0
92462,0
92588,1
92706,1
92856,0
92957,1
93107,0
93187,1
93323,1
93452,1
93544,1
93694,0
93774,1
93924,0
93952,1
94102,0
94195,1
94345,0
94495,0
94645,0
94741,1
94836,1
94986,0
95136,0
95286,0
95436,1
95586,0
95736,0
95886,0
95989,1
96139,0
96203,1
96353,0
96503,0
96653,0
96803,0
96953,0
97103,0
97253,0
97312,1
97462,0
97612,0
97723,1
97835,1
97985,0
98135,0
98285,0
98400,1
98550,0
98700,0
98766,1
98828,1
98960,1
99110,0
99260,0
99410,0
99480,1
99630,0
99780,0
99930,0
100080,0
100230,0
100380,0
100496,1
100646,0
100796,0
100907,1
100980,1
101130,0
101280,0
101430,0
101580,0
101670,1
101820,0
101874,1
101956,1
102106,0
102241,1
102391,0
102485,1
102635,0
102785,0
102830,1
102941,1
103091,0
103241,0
103287,1
103437,0
103510,1
103660,0
103753,1
103820,1
103970,0
104120,0
104270,0
104395,1
104545,0
104695,0
104838,1
104988,0
105138,0
105288,0
105438,0
105588,0
105738,0
105834,1
105984,0
106134,0
106217,1
106367,0
106488,1
106638,0
106788,0
106903,1
106985,1
107135,0
107223,1
107373,0
107476,1
107617,1
107767,0
107871,1
107968,1
108118,0
108268,0
108345,1
108495,0
108586,1
108736,0
108800,1
108886,1
109009,1
109118,1
109268,0
109418,0
109493,1
109643,0
109757,1
109877,1
110027,0
110177,0
110284,1
110434,0
110554,1
110643,1
110756,1
110830,1
110980,0
111130,0
111280,0
111343,1
111447,1
111597,0
111653,1
111734,1
111884,0
112026,1
112113,1
112181,1
112331,0
112392,1
112542,0
112692,0
112842,0
112992,0
113142,0
113231,1
113328,1
113478,0
113628,0
113778,0
113928,0
114033,1
114183,0
114245,1
114359,1
114509,0
114659,0
114770,1
114920,0
114975,1
115028,1
115094,1
115228,1
115315,1
115465,0
115576,1
115726,0
115876,0
116026,0
116176,0
116326,0
116453,1
116574,1
116613,1
116694,1
116844,0
116908,1
116971,1
117100,1
117250,0
117355,1
117426,1
117576,0
117726,0
117876,0
117950,1
118052,1
118101,1
118146,1
118296,0
118354,1
118422,1
118532,1
118599,1
118691,1
118841,0
118991,0
119141,0
119291,0
119441,0
119591,0
119741,0
119840,1
119990,0
120077,1
120227,0
120334,1
120423,1
120573,0
120723,0
120873,0
121023,0
121173,0
121323,0
121405,1
121470,1
121620,0
121696,1
121745,1
121829,1
121888,1
121977,1
122034,1
122184,0
122302,1
122372,1
122469,1
122533,1
122592,1
122644,1
122715,1
122865,0
123015,0
123080,1
123230,0
123334,1
123484,0
123634,0
123784,0
123841,1
123991,0
124052,1
124113,1
124263,0
124413,0
124459,1
124519,1
124669,0
124742,1
124806,1
124903,1
125053,0
125203,0
125353,0
125467,1
125524,1
125674,0
125760,1
125910,0
126060,0
126187,1
126282,1
126432,0
126582,0
126732,0
126849,1
126999,0
127078,1
127144,1
127185,1
127335,0
127485,0
127547,1
127697,0
127786,1
127936,0
128086,0
128150,1
128300,0
128412,1
128471,1
128621,0
128659,1
128725,1
128875,0
128921,1
128990,1
129048,1
129100,1
129250,0
129400,0
129550,0
129700,0
129766,1
129916,0
130066,0
130105,1
130255,0
130405,0
130555,0
130609,1
130683,1
130762,1
130823,1
130973,0
131037,1
131187,0
131337,0
131394,1
131464,1
131614,0
131764,0
131835,1
131985,0
132021,1
132066,1
132162,1
132270,1
132355,1
132400,1
132462,1
132527,1
132595,1
132745,0
132895,0
133045,0
133195,0
133345,0
133449,1
133505,1
133548,1
133592,1
133651,1
133801,0
133951,0
134101,0
134251,0
134401,0
134482,1
134559,1
134709,0
134781,1
134831,1
134886,1
135036,0
135186,0
135336,0
135486,0
135527,1
135588,1
135738,0
135780,1
135834,1
135984,0
136051,1
136201,0
136351,0
136501,0
136651,0
136736,1
136886,0
136949,1
137004,1
137056,1
137162,1
137210,1
137298,1
137348,1
137498,0
137589,1
137633,1
137783,0
137846,1
137954,1
138033,1
138183,0
138252,1
138327,1
138394,1
138443,1
138528,1
138545,1
138695,0
138774,1
138850,1
138890,1
138998,1
139064,1
139214,0
139321,1
139382,1
139439,1
139589,0
139640,1
139772,1
139922,0
140000,1
140067,1
140118,1
140192,1
140262,1
140412,0
140562,0
140656,1
140762,1
140807,1
140957,0
140998,1
141148,0
141298,0
141383,1
141533,0
141583,1
141733,0
141883,0
141950,1
142010,1
142103,1
142135,1
142215,1
142365,0
142515,0
142600,1
142643,1
142793,0
142943,0
143093,0
143160,1
143310,0
143366,1
143516,0
143666,0
143816,0
143862,1
143905,1
144003,1
144054,1
144204,0
144257,1
144334,1
144384,1
144428,1
144493,1
144643,0
144793,0
144943,0
144977,1
145127,0
145277,0
145363,1
145478,1
145555,1
145610,1
145760,0
145910,0
146000,1
146150,0
146300,0
146391,1
146485,1
146533,1
146675,1
146745,1
146853,1
147003,0
147153,0
147202,1
147352,0
147411,1
147470,1
147515,1
147578,1
147728,0
147878,0
148028,0
148092,1
148134,1
148228,1
148378,0
148411,1
148459,1
148523,1
148585,1
148735,0
148786,1
148936,0
148996,1
149040,1
149190,0
149232,1
149382,0
149532,0
149588,1
149656,1
149806,0
149894,1
149923,1
149992,1
150124,1
150165,1
150232,1
150292,1
150355,1
150505,0
150626,1
150669,1
150819,0
150872,1
151022,0
151101,1
151251,0
151401,0
151478,1
151545,1
151695,0
151845,0
151907,1
151972,1
152029,1
152094,1
152127,1
152207,1
152357,0
152507,0
152571,1
