#{"t_start": 1774404192.771334, "env_id": "None"}
r,l,t
-5.59,106,10.088991
-6.85,166,14.008018
-5.52,144,18.094939
-8.96,209,23.677904
-5.5,115,26.734842
-5.99,134,30.516084
-5.84,149,34.735653
-3.61,109,38.00379
-7.92,198,43.893695
-5.01,117,47.267853
-5.16,141,51.324929
-7.48,169,55.979224
-8.99,164,60.629043
-6.51,183,68.356705
-3.96,114,71.191568
-4.71,138,74.581761
-5.57,197,79.858964
-6.41,182,84.467542
-6.91,205,89.676345
-6.52,187,94.594524
-4.73,149,98.505106
-6.09,153,102.583427
-5.43,147,106.570301
-5.8,175,111.101998
-3.67,115,113.827465
-4.53,114,116.58936
-5.6,191,123.588488
-5.42,194,128.491425
-4.13,143,132.161456
-3.13,109,135.043673
-5.97,195,140.207748
-5.03,134,143.704394
-3.2,140,147.407768
-3.67,127,150.538547
-5.24,173,154.862639
-3.83,122,158.233623
-4.63,178,163.08514
-5.07,183,167.579478
-5.32,172,172.308088
-2.75,113,177.439221
-4.31,188,181.981608
-3.59,152,185.693686
-3.97,172,190.305454
-2.61,108,193.048874
-4.87,190,198.285806
-3.88,136,201.889102
-3.42,144,205.762125
-3.31,133,209.329013
-2.01,111,212.31799
-5.18,185,217.524749
-3.85,142,221.350943
-3.79,145,225.254174
-4.34,173,230.10214
-2.91,147,235.961087
-1.96,106,238.635285
-3.75,168,242.936692
-3.39,117,246.079489
-4.81,166,250.498158
-4.6,199,255.836767
-3.3,132,259.489254
-3.31,142,263.329561
-3.37,166,267.686938
-3.76,151,271.729923
-2.77,115,274.619814
-2.15,107,277.450644
-2.43,117,280.309763
-3.02,149,284.113747
-2.09,110,287.182508
-2.84,149,293.538651
-5.44,166,297.706914
-2.84,131,300.936636
-2.29,121,304.527383
-3.7,166,308.994659
-3.08,164,313.313268
-2.16,126,316.779327
-3.11,140,320.787322
-3.88,163,325.286318
-2.64,138,329.333132
-3.08,173,334.250105
-3.7,172,339.017282
-3.99,183,344.10272
-3.45,183,351.512453
-2.8,127,355.230741
-3.98,155,359.77541
-1.82,119,363.421758
-2.72,164,368.065546
-5.37,192,373.363002
-2.42,134,376.997919
-2.56,148,381.014021
-2.58,159,385.457643
-2.14,106,388.488315
-2.95,169,393.182375
-4.33,184,398.513547
-2.74,139,402.388777
-2.11,121,405.801829
-2.18,119,411.164825
-2.48,131,415.016912
-2.62,181,420.414542
-3.67,169,425.11172
-2.06,143,429.053194
-2.74,157,433.433903
-2.92,139,437.458754
-2.62,154,441.823838
-3.1,184,446.788556
-3.19,175,451.883001
-2.2,112,455.034966
-2.49,123,458.484129
-4.49,182,463.523875
-4.62,204,471.104494
-3.78,207,477.114197
-2.85,132,480.870696
-3.25,181,485.891355
-1.79,107,488.939505
8.91,50,490.353925
-2.54,146,494.451463
-2.01,111,497.267404
-2.04,105,500.178097
-2.27,137,504.258068
-3.97,208,509.916708
-2.84,170,514.480178
-1.96,124,517.967441
-2.1,129,521.834772
6.82,148,527.986055
-4.05,207,533.789675
7.61,78,536.235562
-1.92,120,539.54285
-2.58,132,542.983545
-2.52,180,547.673641
-3.41,179,552.294807
8.03,117,555.305869
-2.34,126,558.355631
-3.55,193,563.330791
-2.71,172,567.655174
-2.36,137,571.33694
-3.44,176,575.851308
-4.25,194,580.816441
-3.17,182,587.603497
-3.93,180,592.212312
-2.35,118,595.344406
-4.04,185,599.988115
-2.58,168,604.481251
7.87,88,606.627049
-3.47,176,611.151139
-1.76,113,614.076459
-2.31,114,617.048647
-1.85,113,620.013949
-3.06,180,624.666636
-3.29,185,629.547519
5.65,148,633.559911
-2.63,191,640.719426
-2.83,112,643.626941
-3.47,149,647.532885
-3.36,132,650.825793
-4.51,199,656.014499
-2.83,139,659.622605
